SN,State,LGA,Health Facility,% of states that have commenced recruitment of SBAs,Proportion of targeted SBA recruitments that have been completed (recruited over planned),Number of SBAs recruited,Proportion of SBAs deployed per state (total number deployed),Total number of SBAs,Proportion of planned frontline health workers who have been trained,Proportion of CBHWs recruited (state),Number of CBHWs trained (state),Proportion of CBHWs deployed per state (state),% of recruited CBHWs that have been absorbed ,Total BHCPF Facilities (LGA),Proportion of L2 functional facilities per LGA (BHCPF),Proportion of L1 functional facilities per LGA,Proportion of partially functional facilities per LGA,Number of revitalized PHC facilities per LGA,# of emergency referrals transported via the ambulance service,# of obstetric and newborn emergency referrals transported via the ambulance service,# of obstetric emergencies reported via helplines,,,,,
383,BORNO,MAIDUGURI,Mala Kachalla Maternal And Child Health,NO,0,0,0,14,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
384,BORNO,MAIDUGURI,Nana Kashim Primary Health Centre,NO,0,0,0,12,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
385,BORNO,MAIDUGURI,Yerwa Maternal And Child Health,NO,0,0,0,12,82,807,0,0,0,12,10,2,0,#N/A,,,,,,,,
386,BORNO,MOBBAR,Damasak Maternal And Child Health,NO,0,0,0,13,46,807,0,0,0,1,1,0,0,1,,,,,,,,
387,BORNO,SHANI,Bargu Maternal And Child Health,NO,0,0,0,7,121,807,0,0,0,9,3,6,0,9,,,,,,,,
388,BORNO,SHANI,Gora Primary Health Centre,NO,0,0,0,2,121,807,0,0,0,9,3,6,0,9,,,,,,,,
389,BORNO,SHANI,Kashim Primary Health Centre,NO,0,0,0,1,121,807,0,0,0,9,3,6,0,9,,,,,,,,
390,BORNO,SHANI,Kombo Primary Health Centre,NO,0,0,0,1,121,807,0,0,0,9,3,6,0,9,,,,,,,,
391,BORNO,SHANI,Kubo Comprehensive Health Centre,NO,0,0,0,2,121,807,0,0,0,9,3,6,0,9,,,,,,,,
392,BORNO,SHANI,Kubodeno Primary Health Centre,NO,0,0,0,2,121,807,0,0,0,9,3,6,0,9,,,,,,,,
393,BORNO,SHANI,Lakundum Primary Health Centre,NO,0,0,0,2,121,807,0,0,0,9,3,6,0,9,,,,,,,,
394,BORNO,SHANI,Shani Maternal And Child Health,NO,0,0,0,15,121,807,0,0,0,9,3,6,0,9,,,,,,,,
395,BORNO,SHANI,Walama Primary Health Centre,NO,0,0,0,6,121,807,0,0,0,9,3,6,0,9,,,,,,,,
396,CROSS RIVER,ABI,Adadama Primary Health Centre,NO,0,0,0,5,62,0,0,0,0,10,10,0,0,1,,,,,,,,
397,CROSS RIVER,ABI,Afafanyi Primary Health Centre,NO,0,0,0,4,62,0,0,0,0,10,10,0,0,1,,,,,,,,
398,CROSS RIVER,ABI,Anong Ezeke Primary Health Centre,NO,0,0,0,4,62,0,0,0,0,10,10,0,0,1,,,,,,,,
399,CROSS RIVER,ABI,Ebom Primary Health Centre,NO,0,0,0,5,62,0,0,0,0,10,10,0,0,1,,,,,,,,
400,CROSS RIVER,ABI,Ediba Comprehensive Health Centre,NO,0,0,0,5,62,0,0,0,0,10,10,0,0,1,,,,,,,,
401,CROSS RIVER,ABI,Ikpalegwu Primary Health Centre,NO,0,0,0,5,62,0,0,0,0,10,10,0,0,1,,,,,,,,
402,CROSS RIVER,ABI,Itigidi Primary Health Centre,NO,0,0,0,5,62,0,0,0,0,10,10,0,0,1,,,,,,,,
403,CROSS RIVER,ABI,Ngarabe Primary Health Centre,NO,0,0,0,4,62,0,0,0,0,10,10,0,0,1,,,,,,,,
404,CROSS RIVER,ABI,Primary Health Centre (Model),NO,0,0,0,4,62,0,0,0,0,10,10,0,0,1,,,,,,,,
405,CROSS RIVER,ABI,Usumutong Primary Health Centre,NO,0,0,0,5,62,0,0,0,0,10,10,0,0,1,,,,,,,,
406,DELTA,ANIOCHA NORTH,Ezi Primary Health Centre,NO,0,0,0,1,30,0,0,0,0,11,0,11,0,5,,,,,,,,
407,DELTA,ANIOCHA NORTH,Idumuje Ugboko Primary Health Centre,NO,0,0,0,1,30,0,0,0,0,11,0,11,0,5,,,,,,,,
408,DELTA,ANIOCHA NORTH,Issele-Azagba Primary Health Centre,NO,0,0,0,1,30,0,0,0,0,11,0,11,0,5,,,,,,,,
409,DELTA,ANIOCHA NORTH,Issele-Uku Urban Primary Health Centre,NO,0,0,0,4,30,0,0,0,0,11,0,11,0,5,,,,,,,,
410,DELTA,ANIOCHA NORTH,Obomkpa Primary Health Centre,NO,0,0,0,2,30,0,0,0,0,11,0,11,0,5,,,,,,,,
411,DELTA,ANIOCHA NORTH,Onicha-Olona Primary Health Centre,NO,0,0,0,3,30,0,0,0,0,11,0,11,0,5,,,,,,,,
412,DELTA,ANIOCHA NORTH,Onicha-Ugbo Primary Health Centre,NO,0,0,0,2,30,0,0,0,0,11,0,11,0,5,,,,,,,,
413,DELTA,ANIOCHA NORTH,Onicha-Uku Primary Health Centre,NO,0,0,0,2,30,0,0,0,0,11,0,11,0,5,,,,,,,,
414,DELTA,ANIOCHA NORTH,Ugboba Primary Health Centre,NO,0,0,0,0,30,0,0,0,0,11,0,11,0,5,,,,,,,,
415,DELTA,ANIOCHA NORTH,Ukwu-Nzu Primary Health Centre,NO,0,0,0,1,30,0,0,0,0,11,0,11,0,5,,,,,,,,
416,DELTA,ANIOCHA NORTH,Urban Issele Uku 1 Primary Health Centre,NO,0,0,0,2,30,0,0,0,0,11,0,11,0,5,,,,,,,,
417,DELTA,NDOKWA EAST,Abala Obodo Primary Health Centre,NO,0,0,0,2,58,0,0,0,0,9,5,4,0,5,,,,,,,,
418,DELTA,NDOKWA EAST,Aboh Primary Health Centre,NO,0,0,0,4,58,0,0,0,0,9,5,4,0,5,,,,,,,,
419,DELTA,NDOKWA EAST,Afor Umuachi Primary Health Centre,NO,0,0,0,5,58,0,0,0,0,9,5,4,0,5,,,,,,,,
420,DELTA,NDOKWA EAST,Ase Primary Health Centre,NO,0,0,0,4,58,0,0,0,0,9,5,4,0,5,,,,,,,,
421,DELTA,NDOKWA EAST,Ibedeni Primary Health Centre,NO,0,0,0,3,58,0,0,0,0,9,5,4,0,5,,,,,,,,
422,DELTA,NDOKWA EAST,Ibredephc Primary Health Centre,NO,0,0,0,5,58,0,0,0,0,9,5,4,0,5,,,,,,,,
423,DELTA,NDOKWA EAST,Okpai Oluchi Primary Health Centre,NO,0,0,0,3,58,0,0,0,0,9,5,4,0,5,,,,,,,,
424,DELTA,NDOKWA EAST,Onya Primary Health Centre,NO,0,0,0,2,58,0,0,0,0,9,5,4,0,5,,,,,,,,
425,DELTA,NDOKWA EAST,Ossissa Umuoshimili Primary Health Centre,NO,0,0,0,4,58,0,0,0,0,9,5,4,0,5,,,,,,,,
426,DELTA,SAPELE,Amukpe Primary Health Centre,NO,0,0,0,5,43,0,0,0,0,8,5,3,0,5,,,,,,,,
427,DELTA,SAPELE,Eta-Amua Primary Health Centre,NO,0,0,0,4,43,0,0,0,0,8,5,3,0,5,,,,,,,,
428,DELTA,SAPELE,Gana Primary Health Centre,NO,0,0,0,9,43,0,0,0,0,8,5,3,0,5,,,,,,,,
429,DELTA,SAPELE,Ibada Elume Primary Health Centre,NO,0,0,0,6,43,0,0,0,0,8,5,3,0,5,,,,,,,,
430,DELTA,SAPELE,Okuovu Primary Health Centre,NO,0,0,0,3,43,0,0,0,0,8,5,3,0,5,,,,,,,,
431,DELTA,SAPELE,Omiemiedi Primary Health Centre,NO,0,0,0,5,43,0,0,0,0,8,5,3,0,5,,,,,,,,
432,DELTA,SAPELE,Ughorhen Primary Health Centre,NO,0,0,0,2,43,0,0,0,0,8,5,3,0,5,,,,,,,,
433,DELTA,SAPELE,Urban Primary Health Centre,NO,0,0,0,4,43,0,0,0,0,8,5,3,0,5,,,,,,,,
434,DELTA,UDU,Aladja Primary Health Centre,NO,0,0,0,3,47,0,0,0,0,9,4,5,0,5,,,,,,,,
435,DELTA,UDU,Egini Primary Health Centre,NO,0,0,0,6,47,0,0,0,0,9,4,5,0,5,,,,,,,,
436,DELTA,UDU,Ekete Primary Health Centre,NO,0,0,0,3,47,0,0,0,0,9,4,5,0,5,,,,,,,,
437,DELTA,UDU,Opete Primary Health Centre,NO,0,0,0,7,47,0,0,0,0,9,4,5,0,5,,,,,,,,
438,DELTA,UDU,Orhuwhorun Primary Health Centre,NO,0,0,0,1,47,0,0,0,0,9,4,5,0,5,,,,,,,,
439,DELTA,UDU,Otor-Udu Primary Health Centre,NO,0,0,0,3,47,0,0,0,0,9,4,5,0,5,,,,,,,,
440,DELTA,UDU,Ovwian Primary Health Centre,NO,0,0,0,5,47,0,0,0,0,9,4,5,0,5,,,,,,,,
441,DELTA,UDU,Ubogo Primary Health Centre,NO,0,0,0,7,47,0,0,0,0,9,4,5,0,5,,,,,,,,
442,DELTA,UDU,Ukpiovwin Primary Health Centre,NO,0,0,0,5,47,0,0,0,0,9,4,5,0,5,,,,,,,,
443,DELTA,UGHELLI NORTH,Afiesere Primary Health Centre,NO,0,0,0,5,46,0,0,0,0,11,4,7,0,6,,,,,,,,
444,DELTA,UGHELLI NORTH,Agbarha Primary Health Centre,NO,0,0,0,4,46,0,0,0,0,11,4,7,0,6,,,,,,,,
445,DELTA,UGHELLI NORTH,Aragba Orogun Primary Health Centre,NO,0,0,0,5,46,0,0,0,0,11,4,7,0,6,,,,,,,,
446,DELTA,UGHELLI NORTH,Ekiugbo Primary Health Centre,NO,0,0,0,3,46,0,0,0,0,11,4,7,0,6,,,,,,,,
447,DELTA,UGHELLI NORTH,Ekreravwe Primary Health Centre,NO,0,0,0,3,46,0,0,0,0,11,4,7,0,6,,,,,,,,
448,DELTA,UGHELLI NORTH,Evwreni Primary Health Centre,NO,0,0,0,2,46,0,0,0,0,11,4,7,0,6,,,,,,,,
449,DELTA,UGHELLI NORTH,Ofuoma Primary Health Centre,NO,0,0,0,2,46,0,0,0,0,11,4,7,0,6,,,,,,,,
450,DELTA,UGHELLI NORTH,Orogun Primary Health Centre,NO,0,0,0,1,46,0,0,0,0,11,4,7,0,6,,,,,,,,
451,DELTA,UGHELLI NORTH,Otor-Ogor Primary Health Centre,NO,0,0,0,3,46,0,0,0,0,11,4,7,0,6,,,,,,,,
452,DELTA,UGHELLI NORTH,Uvwiama Primary Health Centre,NO,0,0,0,5,46,0,0,0,0,11,4,7,0,6,,,,,,,,
453,DELTA,UGHELLI NORTH,Uwheru Primary Health Centre,NO,0,0,0,4,46,0,0,0,0,11,4,7,0,6,,,,,,,,
454,EBONYI,IVO,Akaeze Basic Health Centre,NO,0,0,0,5,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
455,EBONYI,IVO,Akaeze Health Centre,NO,0,0,0,6,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
456,EBONYI,IVO,Amaonye Health Centre,NO,0,0,0,5,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
457,EBONYI,IVO,Ameze Health Centre,NO,0,0,0,4,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
458,EBONYI,IVO,Ihie Primary Health Centre,NO,0,0,0,6,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
459,EBONYI,IVO,Isiaka Model Primary Health Centre,NO,0,0,0,4,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
460,EBONYI,IVO,Iyioji Health Centre,NO,0,0,0,6,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
461,EBONYI,IVO,Ndiachi Health Centre,NO,0,0,0,5,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
462,EBONYI,IVO,Ndiokoro (MDGs) Facility,NO,0,0,0,5,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
463,EBONYI,IVO,Ngwogwo Health Centre,NO,0,0,0,3,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
464,EBONYI,IVO,Ogwor Health Centre,NO,0,0,0,5,51,114,0,0,0,11,10,1,0,#N/A,,,,,,,,
465,EBONYI,OHAUKWU,Amofia (MDGs) Facility,NO,0,0,0,1,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
466,EBONYI,OHAUKWU,Ekwashi (MDGs) Facility,NO,0,0,0,5,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
467,EBONYI,OHAUKWU,Ezzamgbo Maternity Centre,NO,0,0,0,7,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
468,EBONYI,OHAUKWU,Ijinike (MDGs) Facility,NO,0,0,0,2,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
469,EBONYI,OHAUKWU,Ndiegueze Comprehensive Health Centre,NO,0,0,0,3,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
470,EBONYI,OHAUKWU,Ngbo Maternity Centre,NO,0,0,0,7,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
471,EBONYI,OHAUKWU,Ogwawo (MDGs) Facility,NO,0,0,0,4,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
472,EBONYI,OHAUKWU,Okpochiri Primary Health Centre,NO,0,0,0,3,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
473,EBONYI,OHAUKWU,Ugum (MDGs) Facility,NO,0,0,0,2,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
474,EBONYI,OHAUKWU,Umuokpo (MDGs) Facility,NO,0,0,0,6,106,114,0,0,0,10,5,5,0,#N/A,,,,,,,,
475,EDO,ESAN SOUTH EAST,Ewohini Primary Health Centre,NO,0,0,0,3,47,0,0,0,0,8,1,7,0,3,,,,,,,,
476,EDO,ESAN SOUTH EAST,Illushi Ll Health Centre,NO,0,0,0,3,47,0,0,0,0,8,1,7,0,3,,,,,,,,
477,EDO,ESAN SOUTH EAST,Okede Health Centre,NO,0,0,0,2,47,0,0,0,0,8,1,7,0,3,,,,,,,,
478,EDO,ESAN SOUTH EAST,Oria Phc2 Primary Health Centre,NO,0,0,0,1,47,0,0,0,0,8,1,7,0,3,,,,,,,,
479,EDO,ESAN SOUTH EAST,Orowa Health Centre,NO,0,0,0,1,47,0,0,0,0,8,1,7,0,3,,,,,,,,
480,EDO,ESAN SOUTH EAST,Ubiaja I Primary Health Centre,NO,0,0,0,5,47,0,0,0,0,8,1,7,0,3,,,,,,,,
481,EDO,ESAN SOUTH EAST,Ugbola Health Centre,NO,0,0,0,1,47,0,0,0,0,8,1,7,0,3,,,,,,,,
482,EDO,ESAN SOUTH EAST,Uhumhenbho Health Centre,NO,0,0,0,4,47,0,0,0,0,8,1,7,0,3,,,,,,,,
483,EDO,ESAN WEST,Central Primary Health Centre,NO,0,0,0,9,31,0,0,0,0,5,2,3,0,1,,,,,,,,
484,EDO,ESAN WEST,Iruekpen Health Centre,NO,0,0,0,2,31,0,0,0,0,5,2,3,0,1,,,,,,,,
485,EDO,ESAN WEST,Jagbe Primary Health Centre,NO,0,0,0,1,31,0,0,0,0,5,2,3,0,1,,,,,,,,
486,EDO,ESAN WEST,Ujiogba Health Centre,NO,0,0,0,2,31,0,0,0,0,5,2,3,0,1,,,,,,,,
487,EDO,ESAN WEST,Ujoelen Primary Health Centre,NO,0,0,0,6,31,0,0,0,0,5,2,3,0,1,,,,,,,,
488,EDO,OVIA NORTH EAST,Egbean Health Post,NO,0,0,0,6,72,0,0,0,0,11,6,5,0,10,,,,,,,,
489,EDO,OVIA NORTH EAST,Ekiadolor Primary Health Centre,NO,0,0,0,10,72,0,0,0,0,11,6,5,0,10,,,,,,,,
490,EDO,OVIA NORTH EAST,Iguiye Primary Health Centre,NO,0,0,0,4,72,0,0,0,0,11,6,5,0,10,,,,,,,,
491,EDO,OVIA NORTH EAST,Odighi Primary Health Centre,NO,0,0,0,2,72,0,0,0,0,11,6,5,0,10,,,,,,,,
492,EDO,OVIA NORTH EAST,Okokhuo Primary Health Centre,NO,0,0,0,4,72,0,0,0,0,11,6,5,0,10,,,,,,,,
493,EDO,OVIA NORTH EAST,Oluku Primary Health Centre,NO,0,0,0,10,72,0,0,0,0,11,6,5,0,10,,,,,,,,
494,EDO,OVIA NORTH EAST,Owan Primary Health Centre,NO,0,0,0,3,72,0,0,0,0,11,6,5,0,10,,,,,,,,
495,EDO,OVIA NORTH EAST,Ugbineh Primary Health Centre,NO,0,0,0,2,72,0,0,0,0,11,6,5,0,10,,,,,,,,
496,EDO,OVIA NORTH EAST,Ugboiogbo Primary Health Centre,NO,0,0,0,5,72,0,0,0,0,11,6,5,0,10,,,,,,,,
497,EDO,OVIA NORTH EAST,Uhen Primary Health Centre,NO,0,0,0,3,72,0,0,0,0,11,6,5,0,10,,,,,,,,
498,EDO,OVIA NORTH EAST,Utoka Health Clinic,NO,0,0,0,2,72,0,0,0,0,11,6,5,0,10,,,,,,,,
499,EDO,OWAN EAST,Afarbakhire Primary Health Centre,NO,0,0,0,3,51,0,0,0,0,11,3,8,0,4,,,,,,,,
500,EDO,OWAN EAST,Ake Primary Health Centre,NO,0,0,0,1,51,0,0,0,0,11,3,8,0,4,,,,,,,,
501,EDO,OWAN EAST,Amoya Primary Health Centre,NO,0,0,0,2,51,0,0,0,0,11,3,8,0,4,,,,,,,,
502,EDO,OWAN EAST,Igue-Sale Primary Health Centre,NO,0,0,0,3,51,0,0,0,0,11,3,8,0,4,,,,,,,,
503,EDO,OWAN EAST,Ohamni Primary Health Centre,NO,0,0,0,3,51,0,0,0,0,11,3,8,0,4,,,,,,,,
504,EDO,OWAN EAST,Okpkhumi Primary Health Centre,NO,0,0,0,5,51,0,0,0,0,11,3,8,0,4,,,,,,,,
505,EDO,OWAN EAST,Oluma Primary Health Centre,NO,0,0,0,6,51,0,0,0,0,11,3,8,0,4,,,,,,,,
506,EDO,OWAN EAST,Otua Model Primary Health Centre,NO,0,0,0,1,51,0,0,0,0,11,3,8,0,4,,,,,,,,
507,EDO,OWAN EAST,Ovbiowun Basic Health Centre,NO,0,0,0,3,51,0,0,0,0,11,3,8,0,4,,,,,,,,
508,EDO,OWAN EAST,Referal Medical Center Afuze Primary Health Centre,NO,0,0,0,19,51,0,0,0,0,11,3,8,0,4,,,,,,,,
509,EDO,OWAN EAST,Ubuneke Primary Health Centre,NO,0,0,0,2,51,0,0,0,0,11,3,8,0,4,,,,,,,,
510,ENUGU,IGBO EZE NORTH,Aguibeje Health Centre,NO,0,0,0,4,108,0,0,0,0,20,0,20,0,2,,,,,,,,
511,ENUGU,IGBO EZE NORTH,Aji Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
512,ENUGU,IGBO EZE NORTH,Amachalla Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
513,ENUGU,IGBO EZE NORTH,Amaja Health Centre,NO,0,0,0,4,108,0,0,0,0,20,0,20,0,2,,,,,,,,
514,ENUGU,IGBO EZE NORTH,Amufie Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
515,ENUGU,IGBO EZE NORTH,Ette Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
516,ENUGU,IGBO EZE NORTH,Igogoro Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
517,ENUGU,IGBO EZE NORTH,Ijekpe Health Centre,NO,0,0,0,7,108,0,0,0,0,20,0,20,0,2,,,,,,,,
518,ENUGU,IGBO EZE NORTH,Ikpamodo Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
519,ENUGU,IGBO EZE NORTH,Ogrute Health Centre,NO,0,0,0,4,108,0,0,0,0,20,0,20,0,2,,,,,,,,
520,ENUGU,IGBO EZE NORTH,Olido Health Centre,NO,0,0,0,10,108,0,0,0,0,20,0,20,0,2,,,,,,,,
521,ENUGU,IGBO EZE NORTH,Onicha-Enugu Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
522,ENUGU,IGBO EZE NORTH,Uda Health Centre,NO,0,0,0,3,108,0,0,0,0,20,0,20,0,2,,,,,,,,
523,ENUGU,IGBO EZE NORTH,Ugbaike Health Centre,NO,0,0,0,2,108,0,0,0,0,20,0,20,0,2,,,,,,,,
524,ENUGU,IGBO EZE NORTH,Umuagam Health Centre,NO,0,0,0,2,108,0,0,0,0,20,0,20,0,2,,,,,,,,
525,ENUGU,IGBO EZE NORTH,Umuida Health Centre,NO,0,0,0,7,108,0,0,0,0,20,0,20,0,2,,,,,,,,
526,ENUGU,IGBO EZE NORTH,Umuishi Health Centre,NO,0,0,0,2,108,0,0,0,0,20,0,20,0,2,,,,,,,,
527,ENUGU,IGBO EZE NORTH,Umuogbo Inyi Health Centre,NO,0,0,0,2,108,0,0,0,0,20,0,20,0,2,,,,,,,,
528,ENUGU,IGBO EZE NORTH,Umuogbo Ulo Primary Health Centre,NO,0,0,0,5,108,0,0,0,0,20,0,20,0,2,,,,,,,,
529,ENUGU,IGBO EZE NORTH,Umuopu Health Facility,NO,0,0,0,2,108,0,0,0,0,20,0,20,0,2,,,,,,,,
530,ENUGU,ISI UZO,Ebia Health Centre,NO,0,0,0,2,65,0,0,0,0,10,0,10,0,2,,,,,,,,
531,ENUGU,ISI UZO,Egerum Health Post,NO,0,0,0,6,65,0,0,0,0,10,0,10,0,2,,,,,,,,
532,ENUGU,ISI UZO,Eha-Amufu Primary Health Centre,NO,0,0,0,2,65,0,0,0,0,10,0,10,0,2,,,,,,,,
533,ENUGU,ISI UZO,Ikem Health Centre,NO,0,0,0,4,65,0,0,0,0,10,0,10,0,2,,,,,,,,
534,ENUGU,ISI UZO,Mbu Amon Health Centre,NO,0,0,0,1,65,0,0,0,0,10,0,10,0,2,,,,,,,,
535,ENUGU,ISI UZO,Mbu-Agudene Health Centre,NO,0,0,0,2,65,0,0,0,0,10,0,10,0,2,,,,,,,,
536,ENUGU,ISI UZO,Ogbuzor Health Post,NO,0,0,0,12,65,0,0,0,0,10,0,10,0,2,,,,,,,,
537,ENUGU,ISI UZO,Ugwuadaka Health Post,NO,0,0,0,4,65,0,0,0,0,10,0,10,0,2,,,,,,,,
538,ENUGU,ISI UZO,Ugwuakparata Primary Health Centre,NO,0,0,0,1,65,0,0,0,0,10,0,10,0,2,,,,,,,,
539,ENUGU,ISI UZO,Umujioru Health Post,NO,0,0,0,16,65,0,0,0,0,10,0,10,0,2,,,,,,,,
540,ENUGU,OJI RIVER,Agbadala Health Centre,NO,0,0,0,1,105,0,0,0,0,20,2,18,0,2,,,,,,,,
541,ENUGU,OJI RIVER,Agbalaenyi Health Centre,NO,0,0,0,3,105,0,0,0,0,20,2,18,0,2,,,,,,,,
542,ENUGU,OJI RIVER,Aguabosi Health Centre,NO,0,0,0,1,105,0,0,0,0,20,2,18,0,2,,,,,,,,
543,ENUGU,OJI RIVER,Akpugoeze Health Centre,NO,0,0,0,11,105,0,0,0,0,20,2,18,0,2,,,,,,,,
544,ENUGU,OJI RIVER,Alum Health Centre,NO,0,0,0,4,105,0,0,0,0,20,2,18,0,2,,,,,,,,
545,ENUGU,OJI RIVER,Amankpunato Health Centre,NO,0,0,0,2,105,0,0,0,0,20,2,18,0,2,,,,,,,,
546,ENUGU,OJI RIVER,Awlaw Etiti Health Centre,NO,0,0,0,2,105,0,0,0,0,20,2,18,0,2,,,,,,,,
547,ENUGU,OJI RIVER,Basic Orji River Health Centre,NO,0,0,0,10,105,0,0,0,0,20,2,18,0,2,,,,,,,,
548,ENUGU,OJI RIVER,Egwu Health Centre,NO,0,0,0,2,105,0,0,0,0,20,2,18,0,2,,,,,,,,
549,ENUGU,OJI RIVER,Elugwu Akwu Health Centre,NO,0,0,0,4,105,0,0,0,0,20,2,18,0,2,,,,,,,,
550,ENUGU,OJI RIVER,Enugwu Inyi Health Centre,NO,0,0,0,16,105,0,0,0,0,20,2,18,0,2,,,,,,,,
551,ENUGU,OJI RIVER,Isikwe Health Centre,NO,0,0,0,2,105,0,0,0,0,20,2,18,0,2,,,,,,,,
552,ENUGU,OJI RIVER,Okwe-Central Primary Health Centre,NO,0,0,0,1,105,0,0,0,0,20,2,18,0,2,,,,,,,,
553,ENUGU,OJI RIVER,Primary Health Centre (Model),NO,0,0,0,4,105,0,0,0,0,20,2,18,0,2,,,,,,,,
554,ENUGU,OJI RIVER,Ugwuoba Health Centre,NO,0,0,0,3,105,0,0,0,0,20,2,18,0,2,,,,,,,,
555,ENUGU,OJI RIVER,Umuagu Inyi Health Centre,NO,0,0,0,4,105,0,0,0,0,20,2,18,0,2,,,,,,,,
556,ENUGU,OJI RIVER,Umulopu Health Centre,NO,0,0,0,27,105,0,0,0,0,20,2,18,0,2,,,,,,,,
557,ENUGU,OJI RIVER,Umuonwu Health Centre,NO,0,0,0,2,105,0,0,0,0,20,2,18,0,2,,,,,,,,
558,ENUGU,OJI RIVER,Umuori Health Centre,NO,0,0,0,2,105,0,0,0,0,20,2,18,0,2,,,,,,,,
559,ENUGU,OJI RIVER,Utazi Ugwa Health Centre,NO,0,0,0,3,105,0,0,0,0,20,2,18,0,2,,,,,,,,
560,GOMBE,BILLIRI,Ayaba Primary Health Centre,NO,0,0,0,3,193,0,0,0,0,11,8,3,0,13,,,,,,,,
561,GOMBE,BILLIRI,Banganje Primary Health Centre,NO,0,0,0,7,193,0,0,0,0,11,8,3,0,13,,,,,,,,
562,GOMBE,BILLIRI,Kekkel Maternal And Child Health Clinic,NO,0,0,0,15,193,0,0,0,0,11,8,3,0,13,,,,,,,,
563,GOMBE,BILLIRI,Ketengereng Primary Health Centre,NO,0,0,0,10,193,0,0,0,0,11,8,3,0,13,,,,,,,,
564,GOMBE,BILLIRI,Koran Mota Health Clinic,NO,0,0,0,2,193,0,0,0,0,11,8,3,0,13,,,,,,,,
565,GOMBE,BILLIRI,Kulgul Primary Health Centre,NO,0,0,0,6,193,0,0,0,0,11,8,3,0,13,,,,,,,,
566,GOMBE,BILLIRI,Pobawure Primary Health Centre,NO,0,0,0,5,193,0,0,0,0,11,8,3,0,13,,,,,,,,
567,GOMBE,BILLIRI,Sabonlayi Primary Health Centre,NO,0,0,0,3,193,0,0,0,0,11,8,3,0,13,,,,,,,,
568,GOMBE,BILLIRI,Sansani Primary Health Centre,NO,0,0,0,8,193,0,0,0,0,11,8,3,0,13,,,,,,,,
569,GOMBE,BILLIRI,Todi Primary Health Centre,NO,0,0,0,8,193,0,0,0,0,11,8,3,0,13,,,,,,,,
570,GOMBE,BILLIRI,Tudu Primary Health Centre,NO,0,0,0,5,193,0,0,0,0,11,8,3,0,13,,,,,,,,
571,GOMBE,DUKKU,Bozomshulwa Prmary Health Centre,NO,0,0,0,4,81,0,0,0,0,11,10,1,0,20,,,,,,,,
572,GOMBE,DUKKU,Dukku Primary Health Centre,NO,0,0,0,28,81,0,0,0,0,11,10,1,0,20,,,,,,,,
573,GOMBE,DUKKU,Gombe Abba Primary Health Centre,NO,0,0,0,6,81,0,0,0,0,11,10,1,0,20,,,,,,,,
574,GOMBE,DUKKU,Hashidu Primary Health Centre,NO,0,0,0,7,81,0,0,0,0,11,10,1,0,20,,,,,,,,
575,GOMBE,DUKKU,Jamari Primary Health Centre,NO,0,0,0,6,81,0,0,0,0,11,10,1,0,20,,,,,,,,
576,GOMBE,DUKKU,Kunde Primary Health Centre,NO,0,0,0,5,81,0,0,0,0,11,10,1,0,20,,,,,,,,
577,GOMBE,DUKKU,Lafiya Tale Health Clinic,NO,0,0,0,5,81,0,0,0,0,11,10,1,0,20,,,,,,,,
578,GOMBE,DUKKU,National Youth Service Corps Nysc Malala Clinic,NO,0,0,0,8,81,0,0,0,0,11,10,1,0,20,,,,,,,,
579,GOMBE,DUKKU,Wuro Tale Primary Health Centre,NO,0,0,0,4,81,0,0,0,0,11,10,1,0,20,,,,,,,,
