SN,State,LGA,Health Facility,% of states that have commenced recruitment of SBAs,Proportion of targeted SBA recruitments that have been completed (recruited over planned),Number of SBAs recruited,Proportion of SBAs deployed per state (total number deployed),Total number of SBAs,Proportion of planned frontline health workers who have been trained,Proportion of CBHWs recruited (state),Number of CBHWs trained (state),Proportion of CBHWs deployed per state (state),% of recruited CBHWs that have been absorbed ,Total BHCPF Facilities (LGA),Proportion of L2 functional facilities per LGA (BHCPF),Proportion of L1 functional facilities per LGA,Proportion of partially functional facilities per LGA,Number of revitalized PHC facilities per LGA,# of emergency referrals transported via the ambulance service,# of obstetric and newborn emergency referrals transported via the ambulance service,# of obstetric emergencies reported via helplines,,,,,
81,ADAMAWA,LAMURDE,Lamurde Maternal And Child Health,NO,0,0,0,4,68,0,0,0,0,10,5,5,0,5,,,,,,,,
82,ADAMAWA,LAMURDE,Ngbakawo Primary Health Centre,NO,0,0,0,3,68,0,0,0,0,10,5,5,0,5,,,,,,,,
83,ADAMAWA,LAMURDE,Opalo Primary Health Centre,NO,0,0,0,4,68,0,0,0,0,10,5,5,0,5,,,,,,,,
84,ADAMAWA,LAMURDE,Rigange Primary Health Centre,NO,0,0,0,2,68,0,0,0,0,10,5,5,0,5,,,,,,,,
85,ADAMAWA,LAMURDE,Sabon Layi Primary Health Centre,NO,0,0,0,1,68,0,0,0,0,10,5,5,0,5,,,,,,,,
86,ADAMAWA,LAMURDE,Suwa Primary Health Centre,NO,0,0,0,7,68,0,0,0,0,10,5,5,0,5,,,,,,,,
87,ADAMAWA,LAMURDE,Waduku Primary Health Centre,NO,0,0,0,1,68,0,0,0,0,10,5,5,0,5,,,,,,,,
88,ADAMAWA,MAIHA,Belel Maternal And Child Health,NO,0,0,0,3,78,0,0,0,0,10,5,5,0,5,,,,,,,,
89,ADAMAWA,MAIHA,Humbutudi Primary Health Centre,NO,0,0,0,6,78,0,0,0,0,10,5,5,0,5,,,,,,,,
90,ADAMAWA,MAIHA,Konkol Maternal And Child Health,NO,0,0,0,4,78,0,0,0,0,10,5,5,0,5,,,,,,,,
91,ADAMAWA,MAIHA,Maiha Gari Maternal And Child Health,NO,0,0,0,5,78,0,0,0,0,10,5,5,0,5,,,,,,,,
92,ADAMAWA,MAIHA,Manjekin Primary Health Centre,NO,0,0,0,5,78,0,0,0,0,10,5,5,0,5,,,,,,,,
93,ADAMAWA,MAIHA,Mayo-Nguli Maternal And Child Health,NO,0,0,0,2,78,0,0,0,0,10,5,5,0,5,,,,,,,,
94,ADAMAWA,MAIHA,Pakka Health Centre,NO,0,0,0,4,78,0,0,0,0,10,5,5,0,5,,,,,,,,
95,ADAMAWA,MAIHA,Sorau Maternal And Child Health,NO,0,0,0,3,78,0,0,0,0,10,5,5,0,5,,,,,,,,
96,ADAMAWA,MAIHA,Tambajam Maternal And Child Health,NO,0,0,0,4,78,0,0,0,0,10,5,5,0,5,,,,,,,,
97,ADAMAWA,MAIHA,Wuro-Ladde Maternal And Child Health,NO,0,0,0,3,78,0,0,0,0,10,5,5,0,5,,,,,,,,
98,ADAMAWA,NUMAN,Bamatato Health Centre,NO,0,0,0,5,60,0,0,0,0,10,6,4,0,4,,,,,,,,
99,ADAMAWA,NUMAN,Bare Maternal And Child Health,NO,0,0,0,5,60,0,0,0,0,10,6,4,0,4,,,,,,,,
100,ADAMAWA,NUMAN,Gamadio Health Centre,NO,0,0,0,0,60,0,0,0,0,10,6,4,0,4,,,,,,,,
101,ADAMAWA,NUMAN,Imburu Health Centre,NO,0,0,0,5,60,0,0,0,0,10,6,4,0,4,,,,,,,,
102,ADAMAWA,NUMAN,Makera Health Centre,NO,0,0,0,3,60,0,0,0,0,10,6,4,0,4,,,,,,,,
103,ADAMAWA,NUMAN,Nzumosu Maternal And Child Health,NO,0,0,0,4,60,0,0,0,0,10,6,4,0,4,,,,,,,,
104,ADAMAWA,NUMAN,Pare Health Centre,NO,0,0,0,5,60,0,0,0,0,10,6,4,0,4,,,,,,,,
105,ADAMAWA,NUMAN,Sabon Pegi Numan Health Centre,NO,0,0,0,9,60,0,0,0,0,10,6,4,0,4,,,,,,,,
106,ADAMAWA,NUMAN,Shafuron Health Centre,NO,0,0,0,2,60,0,0,0,0,10,6,4,0,4,,,,,,,,
107,ADAMAWA,NUMAN,Vulpi Health Centre,NO,0,0,0,2,60,0,0,0,0,10,6,4,0,4,,,,,,,,
108,ADAMAWA,SHELLENG,Bakta Health Centre,NO,0,0,0,1,92,0,0,0,0,10,3,7,0,5,,,,,,,,
109,ADAMAWA,SHELLENG,Bobere Health Centre,NO,0,0,0,3,92,0,0,0,0,10,3,7,0,5,,,,,,,,
110,ADAMAWA,SHELLENG,Bodwai Health Centre,NO,0,0,0,4,92,0,0,0,0,10,3,7,0,5,,,,,,,,
111,ADAMAWA,SHELLENG,Gwagarap Health Centre,NO,0,0,0,3,92,0,0,0,0,10,3,7,0,5,,,,,,,,
112,ADAMAWA,SHELLENG,Jamali Health Centre,NO,0,0,0,3,92,0,0,0,0,10,3,7,0,5,,,,,,,,
113,ADAMAWA,SHELLENG,Karlaje Health Centre,NO,0,0,0,3,92,0,0,0,0,10,3,7,0,5,,,,,,,,
114,ADAMAWA,SHELLENG,Ketembere Health Centre,NO,0,0,0,2,92,0,0,0,0,10,3,7,0,5,,,,,,,,
115,ADAMAWA,SHELLENG,Kiri Primary Health Centre,NO,0,0,0,3,92,0,0,0,0,10,3,7,0,5,,,,,,,,
116,ADAMAWA,SHELLENG,Shelleng Nycs Health Centre,NO,0,0,0,9,92,0,0,0,0,10,3,7,0,5,,,,,,,,
117,ADAMAWA,SHELLENG,Wuroyanka Health Centre,NO,0,0,0,4,92,0,0,0,0,10,3,7,0,5,,,,,,,,
118,ADAMAWA,SONG,B Clinic Health Centre,NO,0,0,0,5,106,0,0,0,0,11,8,3,0,6,,,,,,,,
119,ADAMAWA,SONG,Dirma Primary Health Centre,NO,0,0,0,6,106,0,0,0,0,11,8,3,0,6,,,,,,,,
120,ADAMAWA,SONG,Dumne Health Centre,NO,0,0,0,5,106,0,0,0,0,11,8,3,0,6,,,,,,,,
121,ADAMAWA,SONG,Gudu Maternal And Child Health,NO,0,0,0,4,106,0,0,0,0,11,8,3,0,6,,,,,,,,
122,ADAMAWA,SONG,Murke Maternal And Child Health,NO,0,0,0,8,106,0,0,0,0,11,8,3,0,6,,,,,,,,
123,ADAMAWA,SONG,Sigire Health Centre,NO,0,0,0,5,106,0,0,0,0,11,8,3,0,6,,,,,,,,
124,ADAMAWA,SONG,Suktu Sarki Health Centre,NO,0,0,0,3,106,0,0,0,0,11,8,3,0,6,,,,,,,,
125,ADAMAWA,SONG,Waltandi Health Centre,NO,0,0,0,5,106,0,0,0,0,11,8,3,0,6,,,,,,,,
126,ADAMAWA,SONG,Wuro Daudu Maternal And Child Health,NO,0,0,0,5,106,0,0,0,0,11,8,3,0,6,,,,,,,,
127,ADAMAWA,SONG,Wuro Dee Health Centre,NO,0,0,0,2,106,0,0,0,0,11,8,3,0,6,,,,,,,,
128,ADAMAWA,SONG,Zumo Health Centre,NO,0,0,0,2,106,0,0,0,0,11,8,3,0,6,,,,,,,,
129,AKWA IBOM,IKOT ABASI,Edemaya Primary Health Centre,NO,0,0,0,2,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
130,AKWA IBOM,IKOT ABASI,Essene Health Centre,NO,0,0,0,3,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
131,AKWA IBOM,IKOT ABASI,Ikot Abasi Primary Health Centre,NO,0,0,0,6,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
132,AKWA IBOM,IKOT ABASI,Ikot Akan Primary Health Centre,NO,0,0,0,3,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
133,AKWA IBOM,IKOT ABASI,Ikot Ekara Health Centre,NO,0,0,0,2,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
134,AKWA IBOM,IKOT ABASI,Ikot Etetuk Health Centre,NO,0,0,0,2,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
135,AKWA IBOM,IKOT ABASI,Ikot Okpok Health Post,NO,0,0,0,1,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
136,AKWA IBOM,IKOT ABASI,Ikot Okwo Primary Health Centre,NO,0,0,0,1,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
137,AKWA IBOM,IKOT ABASI,Ikot Umiang Okon Health Centre,NO,0,0,0,1,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
138,AKWA IBOM,IKOT ABASI,Ikot Usop Primary Health Centre,NO,0,0,0,2,59,0,0,0,0,10,0,10,0,#N/A,,,,,,,,
139,AKWA IBOM,URUAN,Adadia Health Post,NO,0,0,0,3,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
140,AKWA IBOM,URUAN,Ekpene Ibia Health Centre,NO,0,0,0,3,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
141,AKWA IBOM,URUAN,Ibiaku Issiet Health Centre,NO,0,0,0,2,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
142,AKWA IBOM,URUAN,Ibikpe Health Post,NO,0,0,0,3,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
143,AKWA IBOM,URUAN,Idu Primary Health Centre,NO,0,0,0,8,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
144,AKWA IBOM,URUAN,Ifianyong Obot Health Post,NO,0,0,0,1,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
145,AKWA IBOM,URUAN,Ikot Otoinyie Health Centre,NO,0,0,0,2,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
146,AKWA IBOM,URUAN,Ndon Ebom Health Centre,NO,0,0,0,7,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
147,AKWA IBOM,URUAN,Nung Ikono Ufok Health Post,NO,0,0,0,1,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
148,AKWA IBOM,URUAN,Nwaniba Health Centre,NO,0,0,0,4,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
149,AKWA IBOM,URUAN,Use Health Centre,NO,0,0,0,1,60,0,0,0,0,11,0,11,0,#N/A,,,,,,,,
150,AKWA IBOM,UYO,Aka Offot Health Centre,NO,0,0,0,5,16,0,0,0,0,11,2,9,0,2,,,,,,,,
151,AKWA IBOM,UYO,Akamba Nsukara Health Post,NO,0,0,0,4,16,0,0,0,0,11,2,9,0,2,,,,,,,,
152,AKWA IBOM,UYO,Ewet Offot Health Post,NO,0,0,0,5,16,0,0,0,0,11,2,9,0,2,,,,,,,,
153,AKWA IBOM,UYO,Idoro Uyo Health Centre,NO,0,0,0,4,16,0,0,0,0,11,2,9,0,2,,,,,,,,
154,AKWA IBOM,UYO,Ikot Ayan Ikono Health Centre,NO,0,0,0,3,16,0,0,0,0,11,2,9,0,2,,,,,,,,
155,AKWA IBOM,UYO,Ikot Ebo Health Centre,NO,0,0,0,1,16,0,0,0,0,11,2,9,0,2,,,,,,,,
156,AKWA IBOM,UYO,Ikot Okubo Health Centre,NO,0,0,0,9,16,0,0,0,0,11,2,9,0,2,,,,,,,,
157,AKWA IBOM,UYO,Mbak Etoi Health Centre,NO,0,0,0,5,16,0,0,0,0,11,2,9,0,2,,,,,,,,
158,AKWA IBOM,UYO,Mbiabong Anyanya Health Post,NO,0,0,0,5,16,0,0,0,0,11,2,9,0,2,,,,,,,,
159,AKWA IBOM,UYO,Oku Uyo Health Centre (Model),NO,0,0,0,6,16,0,0,0,0,11,2,9,0,2,,,,,,,,
160,AKWA IBOM,UYO,Uyo Primary Health Centre,NO,0,0,0,24,16,0,0,0,0,11,2,9,0,2,,,,,,,,
161,ANAMBRA,IDEMILI SOUTH,Akwaukwu Primary Health Centre,NO,0,0,0,3,78,0,0,0,0,12,2,10,0,6,,,,,,,,
162,ANAMBRA,IDEMILI SOUTH,Alor 1 Primary Health Centre,NO,0,0,0,2,78,0,0,0,0,12,2,10,0,6,,,,,,,,
163,ANAMBRA,IDEMILI SOUTH,Awada Nnobi Primary Health Centre,NO,0,0,0,1,78,0,0,0,0,12,2,10,0,6,,,,,,,,
164,ANAMBRA,IDEMILI SOUTH,Awka Etiti Primary Health Centre,NO,0,0,0,3,78,0,0,0,0,12,2,10,0,6,,,,,,,,
165,ANAMBRA,IDEMILI SOUTH,Ebenesi Nnobi Primary Health Centre,NO,0,0,0,2,78,0,0,0,0,12,2,10,0,6,,,,,,,,
166,ANAMBRA,IDEMILI SOUTH,Ngo Nnobi Primary Health Centre (Model),NO,0,0,0,2,78,0,0,0,0,12,2,10,0,6,,,,,,,,
167,ANAMBRA,IDEMILI SOUTH,Nnokwa Primary Health Centre,NO,0,0,0,2,78,0,0,0,0,12,2,10,0,6,,,,,,,,
168,ANAMBRA,IDEMILI SOUTH,Oba 1 Primary Health Centre,NO,0,0,0,2,78,0,0,0,0,12,2,10,0,6,,,,,,,,
169,ANAMBRA,IDEMILI SOUTH,Oba 2 Primary Health Centre,NO,0,0,0,5,78,0,0,0,0,12,2,10,0,6,,,,,,,,
170,ANAMBRA,IDEMILI SOUTH,Ojoto Uno Primary Health Centre,NO,0,0,0,4,78,0,0,0,0,12,2,10,0,6,,,,,,,,
171,ANAMBRA,IDEMILI SOUTH,Umunocha Primary Health Centre,NO,0,0,0,2,78,0,0,0,0,12,2,10,0,6,,,,,,,,
172,ANAMBRA,IDEMILI SOUTH,Umuochi Primary Health Centre,NO,0,0,0,1,78,0,0,0,0,12,2,10,0,6,,,,,,,,
173,ANAMBRA,ONITSHA SOUTH,Bridge Head Primary Health Centre,NO,0,0,0,2,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
174,ANAMBRA,ONITSHA SOUTH,Ckp Primary Health Centre,NO,0,0,0,10,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
175,ANAMBRA,ONITSHA SOUTH,Methodist Primary Health Centre,NO,0,0,0,3,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
176,ANAMBRA,ONITSHA SOUTH,Nweje Primary Health Centre,NO,0,0,0,2,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
177,ANAMBRA,ONITSHA SOUTH,Onuma Primary Health Centre,NO,0,0,0,1,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
178,ANAMBRA,ONITSHA SOUTH,Pam-Pam Lane Primary Health Centre,NO,0,0,0,2,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
179,ANAMBRA,ONITSHA SOUTH,Queen Of Peace Primary Health Centre,NO,0,0,0,2,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
180,ANAMBRA,ONITSHA SOUTH,RECREATION HEALTH POST,NO,0,0,0,2,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
181,ANAMBRA,ONITSHA SOUTH,Redemption Primary Health Centre,NO,0,0,0,8,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
182,ANAMBRA,ONITSHA SOUTH,St Barnabas Primary Health Centre,NO,0,0,0,4,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
183,ANAMBRA,ONITSHA SOUTH,St Dominic Primary Health Centre,NO,0,0,0,3,69,0,0,0,0,17,1,16,0,#N/A,,,,,,,,
